MSA,LAT,LON,Provider,Market Size,Number of Companies,Market Share,Defend $,Product,Exclusion,Included_In_Ranking,Provider_Ratio,Benchmark,Competitor_Ratio,Provider_Opportunity_Rank,Overall_Opportunity_Rank,Opportunity_Score,Opportunity_Category,Firm ID,Total_Weight,Number_of_Occurrences,Weighted_Average_Score
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,BOK Financial,3648450392,2042,0.027,0,Deposits,False,True,0.0,0.107862359,0.0,3.0,138.0,inf,Excellent,430.0,30.9,3.0,4.666666666666666
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Bank of America,3648450392,2042,0.063,95906691,Deposits,True,False,,,,,,,,4836.0,166.70000000000002,27.0,4.205158968206359
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Desert Schools Federal Credit Union,3648450392,2042,0.005,0,Deposits,True,False,,,,,,,,1054.0,11.77,1.0,4.0
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Enterprise Bank (MO),3648450392,2042,0.011,13347625,Deposits,False,True,0.332585159,0.107862359,3.083421897,6.0,582.0,0.324315009,Poor,1171.0,8.11,1.0,5.0
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,First Citizens Bank & Trust (NC/VA),3648450392,2042,0.019,0,Deposits,False,True,0.0,0.107862359,0.0,4.0,177.0,inf,Good,1299.0,8.11,1.0,5.0
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,JPMorgan,3648450392,2042,0.21,19390866,Deposits,True,False,,,,,,,,1804.0,373.1,51.0,4.292146877512731
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,MidFirst Bank,3648450392,2042,0.049,0,Deposits,False,True,0.0,0.107862359,0.0,2.0,68.0,inf,Excellent,2174.0,49.67,5.0,4.763036037849808
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Northern Trust Bank,3648450392,2042,0.01,0,Deposits,True,False,,,,,,,,,,,
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,PNC Bank,3648450392,2042,0.1,31368657,Deposits,True,False,,,,,,,,2444.0,143.88,20.0,4.40943842090631
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,UMB Bank,3648450392,2042,0.109,0,Deposits,True,False,,,,,,,,3158.0,16.22,2.0,4.5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,US Bank,3648450392,2042,0.013,0,Deposits,True,False,,,,,,,,3141.0,225.45,35.0,4.450299401197604
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Wells Fargo,3648450392,2042,0.244,133519434,Deposits,False,True,0.149984442,0.107862359,1.390516981,5.0,523.0,0.719156985,Fair,4839.0,319.32,49.0,4.021232619316047
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Zions Bank,3648450392,2042,0.056,0,Deposits,False,True,0.0,0.107862359,0.0,1.0,51.0,inf,Excellent,3369.0,51.52,6.0,4.0
CA-Fresno,36.879404,-119.668488,Bank of America,59191028,356,0.328,0,Credit_Cash_Management,True,False,,,,,,,,4836.0,2.5,3.0,5.0
CA-Fresno,36.879404,-119.668488,Bank of the Sierra,59191028,356,0.061,0,Credit_Cash_Management,False,True,0.0,0.368138156,0.0,1.0,40.0,inf,Excellent,,,,
CA-Fresno,36.879404,-119.668488,Comerica Bank,59191028,356,0.021,0,Credit_Cash_Management,False,True,0.0,0.368138156,0.0,2.0,144.0,inf,Excellent,868.0,1.0,1.0,4.0
CA-Fresno,36.879404,-119.668488,DLL,59191028,356,0.101,5991296,Credit_Cash_Management,True,False,,,,,,,,,,,
CA-Fresno,36.879404,-119.668488,First Bank (NC),59191028,356,0.061,3617219,Credit_Cash_Management,False,True,1.001818589,0.368138156,2.721311475,5.0,636.0,0.36746988,Poor,,,,
CA-Fresno,36.879404,-119.668488,PayPal,59191028,356,0.001,0,Credit_Cash_Management,True,False,,,,,,,,5894.0,2.5,3.0,3.2
CA-Fresno,36.879404,-119.668488,Square,59191028,356,0.0,0,Credit_Cash_Management,True,False,,,,,,,,5895.0,1.0,1.0,4.0
CA-Fresno,36.879404,-119.668488,UMB Bank,59191028,356,0.19,0,Credit_Cash_Management,True,False,,,,,,,,,,,
CA-Fresno,36.879404,-119.668488,US Bank,59191028,356,0.021,0,Credit_Cash_Management,True,False,,,,,,,,3141.0,2.0,3.0,4.75
CA-Fresno,36.879404,-119.668488,Wells Fargo,59191028,356,0.014,0,Credit_Cash_Management,False,True,0.0,0.368138156,0.0,3.0,186.0,inf,Good,4839.0,4.0,6.0,4.75
CA-Fresno,36.879404,-119.668488,Westamerica Bank,59191028,356,0.009,0,Credit_Cash_Management,False,True,0.0,0.368138156,0.0,4.0,242.0,inf,Good,3299.0,1.0,1.0,5.0
CA-Fresno,36.879404,-119.668488,Bank of America,583964304,356,0.495,0,Deposits,True,False,,,,,,,,4836.0,2.5,3.0,5.0
CA-Fresno,36.879404,-119.668488,Bank of the Sierra,583964304,356,0.102,0,Deposits,False,True,0.0,0.158093813,0.0,2.0,26.0,inf,Excellent,,,,
CA-Fresno,36.879404,-119.668488,Comerica Bank,583964304,356,0.123,0,Deposits,False,True,0.0,0.158093813,0.0,1.0,16.0,inf,Excellent,868.0,1.0,1.0,4.0
CA-Fresno,36.879404,-119.668488,First Bank (NC),583964304,356,0.058,34066502,Deposits,False,True,1.005803743,0.158093813,6.362068966,5.0,614.0,0.157181572,Poor,,,,
CA-Fresno,36.879404,-119.668488,UMB Bank,583964304,356,0.106,0,Deposits,True,False,,,,,,,,,,,
CA-Fresno,36.879404,-119.668488,US Bank,583964304,356,0.029,0,Deposits,True,False,,,,,,,,3141.0,2.0,3.0,4.75
CA-Fresno,36.879404,-119.668488,Wells Fargo,583964304,356,0.053,0,Deposits,False,True,0.0,0.158093813,0.0,3.0,57.0,inf,Excellent,4839.0,4.0,6.0,4.75
CA-Fresno,36.879404,-119.668488,Westamerica Bank,583964304,356,0.033,0,Deposits,False,True,0.0,0.158093813,0.0,4.0,110.0,inf,Excellent,3299.0,1.0,1.0,5.0
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,ADP Claims Solutions Group,1294529972,7674,0.0,0,Credit_Cash_Management,True,False,,,,,,,,7.0,52.72,5.0,4.0
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Ally Bank (formerly GMAC),1294529972,7674,0.006,0,Credit_Cash_Management,True,False,,,,,,,,5221.0,38.67,6.0,4.661753297129557
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,American Express,1294529972,7674,0.009,3974241,Credit_Cash_Management,True,False,,,,,,,,171.0,610.16,55.0,4.266995542152879
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Authorize.Net,1294529972,7674,0.0,0,Credit_Cash_Management,True,False,,,,,,,,6030.0,81.61,7.0,4.323244700404362
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,BMO,1294529972,7674,0.052,24696825,Credit_Cash_Management,True,False,,,,,,,,303.0,329.96000000000004,38.0,3.9022002666989937
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Banc of California,1294529972,7674,0.012,7114136,Credit_Cash_Management,False,True,0.457961329,0.107766667,4.249563818,26.0,666.0,0.235318269,Poor,6302.0,103.16,12.0,4.3005040713454825
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Bank of America,1294529972,7674,0.081,5921977,Credit_Cash_Management,True,False,,,,,,,,4836.0,1132.93,159.0,4.417810456074073
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Bank of Hope(CA),1294529972,7674,0.009,5972424,Credit_Cash_Management,False,True,0.51262055,0.107766667,4.756763518,27.0,673.0,0.210226974,Poor,6349.0,26.380000000000003,2.0,4.008339651250948
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Bank of Nevada,1294529972,7674,0.0,0,Credit_Cash_Management,False,True,0.0,0.107766667,0.0,16.0,437.0,inf,Good,,,,
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Banner Bank,1294529972,7674,0.01,0,Credit_Cash_Management,False,True,0.0,0.107766667,0.0,5.0,225.0,inf,Good,457.0,26.380000000000003,3.0,5.0
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,BluePay,1294529972,7674,0.0,24608,Credit_Cash_Management,True,False,,,,,,,,6112.0,13.08,1.0,3.0
